geometry/type,geometry/coordinates/0,geometry/coordinates/1,type,properties/state,properties/code,properties/name,properties/zone,properties/address,geometry
Point,89.534048,26.523279,Feature,West Bengal,APDJ,ALIPUR DUAR JN,NFR,"03564-255091, West Bengal",
Point,81.4918665,25.5591917,Feature,,BRE,BHARWARI,,,
Point,88.05297200000001,25.626133,Feature,West Bengal,JTK,Jhitkia,NFR,"National Highway 34, West Bengal",
Point,81.55907499999999,25.524992,Feature,,MNJ,MANOHARGANJ,,,
Point,81.613788,25.494982,Feature,,SYWN,SAIYID SARAWAN,,,
Point,81.662491,25.470171,Feature,,MRE,MANAURI,,,
Point,81.741641,25.44494,Feature,,BMU,BAMHRAULI,,,
Point,81.789897,25.439879,Feature,,SFG,SUBEDARGANJ,,,
Point,80.627521,16.295185999999998,Feature,,KLX,KOLAKALUR,,,
Point,80.61690800000001,16.379558,Feature,,CLVR,CHILUVUR,,,
Point,81.726495,17.007084,Feature,,KVR,KOVVUR,,,
Point,81.77083,17.007707,Feature,,GVN,GODAVARI,,,
Point,76.75531600000001,10.800919,Feature,,KJKD,KANJIKODE,,,
Point,86.616164,23.52693,Feature,West Bengal,SNKR,Sanka,SER,"Garh Dhrubeswar, West Bengal",
Point,79.902424,22.72003,Feature,Madhya Pradesh,VNK,Binaiki,SECR,"Binaiki Railway Station, Madhya Pradesh",
Point,88.45836999999999,22.277738,Feature,West Bengal,GCN,Gocharan,ER,"Gocharan, West Bengal",
Point,79.545769,22.075431,Feature,Madhya Pradesh,SEY,Seoni,SECR,"Seoni, Madhya Pradesh",
Point,86.44032,23.654478,Feature,West Bengal,SDMD,Sudamdih,SER,"Jairampur More to Baliapur, West Bengal",
,,,Feature,,PCLS,PCLS,,,
Point,85.988748,25.461768000000003,Feature,,BJU,BARAUNI JN,,,
Point,79.432246,23.836693,Feature,,DMO,DAMOH,,,
Point,73.0346944543,22.486628078200003,Feature,,ADD,ADAS ROAD,,,
Point,71.16224249999999,21.4155588,Feature,Gujarat,CLC,Chalala,WR,"Chalala, Gujarat",
Point,73.1122662115,22.405252095399998,Feature,,RNO,RANOLI,,,
Point,74.024928,26.012397,Feature,Rajasthan,HP,HARIPUR,NWR,"Pali, Rajasthan",
Point,92.0348331158,24.1506303119,Feature,Tripura,KUGT,Kumarghat,NFR,"Kumarghat, Tripura",
Point,75.31064599999999,19.859276,Feature,Maharashtra,AWB,AURANGABAD,SCR,"Aurangabad, Maharashtra",
